"","Survived","Pclass","age","fare","numsib","numpar"
"79",0,3,28,7.8958,0,0
"80",0,1,21,77.2875,0,1
"81",0,3,33,8.6542,0,0
"82",0,3,37,7.925,2,0
"83",0,3,28,7.8958,0,0
"84",1,3,21,7.65,0,0
"85",0,3,38,7.8958,0,0
"86",0,1,47,52,0,0
"87",0,3,14.5,14.4542,1,0
"88",0,3,22,8.05,0,0
"89",0.28125,3,20,9.825,1,0
"90",0,3,17,14.4583,0,0
"91",0,3,21,7.925,0,0
"92",0.368421052631579,3,70.5,7.75,0,0
"93",0,2,29,21,1,0
"94",0,1,24,247.5208,0,1
"95",0.210526315789474,3,2,31.275,4,2
"96",0,2,21,73.5,2,0
"97",0,2,32.5,30.0708,1,0
"98",1,2,32.5,13,0,0
"99",0,1,54,77.2875,0,1
"100",0.413793103448276,3,12,11.2417,1,0
"101",1,3,24,7.1417,0,0
"102",0,3,45,6.975,0,0
"103",0,3,33,7.8958,0,0
"104",0,3,20,7.05,0,0
"105",0,3,47,14.5,1,0
"106",1,2,29,26,1,0
"107",0,2,25,13,0,0
"108",0,2,23,15.0458,0,0
"109",1,1,19,26.2833,0,2
"110",0,1,37,53.1,1,0
"111",0,3,16,9.2167,0,0
"112",0,1,24,79.2,0,0
"113",1,3,22,7.75,0,0
"114",1,3,24,15.85,1,0
"115",0.379310344827586,3,19,6.75,0,0
"116",0,2,18,11.5,0,0
"117",0,2,19,36.75,1,1
"118",0.393939393939394,3,27,7.7958,0,0
"119",0,3,9,34.375,2,2
"120",0,2,36.5,26,0,2
"121",0,2,42,13,0,0
"122",0,2,51,12.525,0,0
"123",1,1,22,66.6,1,0
"124",0,3,55.5,8.05,0,0
"125",0,3,40.5,14.5,0,2
"126",0,1,51,61.3792,0,1
"127",1,3,16,7.7333,0,0
"128",0,3,30,8.05,0,0
"129",0,3,44,16.1,0,1
"130",1,2,40,15.75,0,0
"131",0,3,26,7.775,0,0
"132",0,3,17,8.6625,0,0
"133",0,3,1,39.6875,4,1
"134",1,3,9,20.525,0,2
"135",0,3,45,27.9,1,4
"136",0,3,28,56.4958,0,0
"137",0,1,61,33.5,0,0
"138",0,3,4,29.125,4,1
"139",1,3,1,11.1333,1,1
"140",0,3,21,7.925,0,0
"141",0,1,56,30.6958,0,0
"142",0,3,18,7.8542,1,1
"143",0,1,50,28.7125,0,0
"144",0,2,30,13,0,0
"145",0,3,36,0,0,0
"146",0,3,9,31.3875,4,2
"147",1,2,1,39,2,1
"148",1,3,4,22.025,0,2
"149",1,1,45,26.55,0,0
"150",0.387096774193548,3,40,15.5,1,1
"151",0,3,36,7.8958,0,0
"152",1,2,32,13,0,0
"153",0,2,19,13,0,0
"154",1,3,19,7.8542,1,0
"155",1,2,3,26,1,1
"156",1,1,44,27.7208,0,0
"157",1,1,58,146.5208,0,0
"158",0,3,42,8.4042,0,1
"159",0,2,24,13,0,0
"160",0,3,28,9.5,0,0
"161",0,3,34,6.4958,0,0
"162",0,3,45.5,7.225,0,0
"163",1,3,18,8.05,0,0
"164",0,3,2,10.4625,0,1
"165",0,3,32,15.85,1,0
"166",1,3,26,18.7875,0,0
"167",1,3,16,7.75,0,0
"168",1,1,40,31,0,0
"169",0,3,24,7.05,0,0
"170",1,2,35,21,0,0
"171",0.454545454545455,3,22,7.25,0,0
"172",0,2,30,13,0,0
"173",1,1,31,113.275,1,0
"174",1,3,27,7.925,0,0
"175",0,2,42,27,1,0
"176",1,1,32,76.2917,0,0
"177",0.367647058823529,2,30,10.5,0,0
"178",1,3,16,8.05,0,0
"179",0,2,27,13,0,0
"180",0,3,51,8.05,0,0
"181",1,1,38,90,1,0
"182",0,3,22,9.35,0,0
"183",1,2,19,10.5,0,0
"184",0,3,20.5,7.25,0,0
"185",0,2,18,13,0,0
"186",1,1,35,83.475,1,0
"187",0,3,29,7.775,0,0
"188",0,2,59,13.5,0,0
"189",1,3,5,31.3875,4,2
"190",0,2,24,10.5,0,0
"191",0,2,44,26,1,0
"192",1,2,8,26.25,0,2
"193",0,2,19,10.5,0,0
"194",0,2,33,12.275,0,0
"195",0,2,29,10.5,0,0
"196",0,3,22,7.125,0,0
"197",0,3,30,7.225,0,0
"198",0,1,44,90,2,0
"199",0,3,25,7.775,0,0
"200",1,2,24,14.5,0,2
"201",1,1,37,52.5542,1,1
"202",0,2,54,26,1,0
"203",0,3,29,10.4625,1,1
"204",0,1,62,26.55,0,0
"205",0,3,30,16.1,1,0
"206",0,3,41,20.2125,0,2
"207",1,3,29,15.2458,0,2
"208",1,1,30,86.5,0,0
"209",1,1,35,512.3292,0,0
"210",1,2,50,26,0,1
"211",1,3,3,31.3875,4,2
"212",0,1,52,79.65,1,1
"213",0,1,40,0,0,0
"214",0,2,36,10.5,0,0
"215",0,3,16,39.6875,4,1
"216",0.407407407407407,3,25,7.775,1,0
"217",1,1,58,153.4625,0,1
"218",1,1,35,135.6333,0,0
"219",1,3,25,0,0,0
"220",1,2,41,19.5,0,1
"221",0,1,37,29.7,0,1
"222",1,1,63,77.9583,1,0
"223",0.387096774193548,3,45,7.75,0,0
"224",0,3,7,29.125,4,1
"225",1,3,35,20.25,1,1
"226",0,3,65,7.75,0,0
"227",0,3,28,7.8542,0,0
"228",0,3,16,9.5,0,0
"229",0.394736842105263,3,19,8.05,0,0
"230",0,3,33,8.6625,0,0
"231",1,3,30,9.5,0,0
"232",0,3,22,7.8958,0,0
"233",1,2,42,13,0,0
"234",1,3,22,7.75,0,0
"235",1,1,26,78.85,0,0
"236",1,1,19,91.0792,1,0
"237",0,2,36,12.875,0,0
"238",0,3,24,8.85,0,0
"239",0,3,24,7.8958,0,0
"240",0,3,23.5,7.2292,0,0
"241",0,1,2,151.55,1,2
"242",0.447368421052632,1,50,247.5208,0,1
"243",0,3,19,0,0,0
"244",1,1,0.92,151.55,1,2
"245",1,1,17,108.9,1,0
"246",0,2,30,24,1,0
"247",1,1,30,56.9292,0,0
"248",1,1,24,83.1583,0,0
"249",1,1,18,262.375,2,2
"250",0,2,26,26,1,1
"251",0.457142857142857,3,28,7.8958,0,0
"252",0,2,43,26.25,1,1
"253",1,3,26,7.8542,0,0
"254",1,2,24,26,1,0
"255",0,2,54,14,0,0
"256",1,1,31,164.8667,0,2
"257",1,1,40,134.5,1,1
"258",0,3,22,7.25,0,0
"259",0,3,27,7.8958,0,0
"260",1,2,30,12.35,0,0
"261",1,2,22,29,1,1
"262",1,1,36,135.6333,0,0
"263",0,3,61,6.2375,0,0
"264",1,2,36,13,0,0
"265",0.371428571428571,3,31,20.525,1,1
"266",1,1,16,57.9792,0,1
"267",0,1,45.5,28.5,0,0
"268",0.41304347826087,1,38,153.4625,0,1
"269",0,3,16,18,2,0
"270",0,1,29,66.6,1,0
"271",1,1,41,134.5,0,0
"272",1,3,45,8.05,0,0
"273",0,1,45,35.5,0,0
"274",1,2,2,26,1,1
"275",1,1,24,263,3,2
"276",0,2,28,13,0,0
"277",0,2,25,13,0,0
"278",0,2,36,13,0,0
"279",1,2,24,13,0,0
"280",1,2,40,13,0,0
"281",1,3,3,15.9,1,1
"282",0,3,42,8.6625,0,0
"283",0,3,23,9.225,0,0
"284",0,3,15,7.2292,1,1
"285",0,3,25,17.8,1,0
"286",0,3,28,9.5,0,0
"287",1,1,22,55,0,1
"288",0,2,38,13,0,0
"289",0,3,40,27.9,1,4
"290",0,2,29,27.7208,1,0
"291",0,3,45,14.4542,0,1
"292",0,3,35,7.05,0,0
"293",0,3,30,7.25,0,0
"294",1,1,60,75.25,1,0
"295",1,1,24,69.3,0,0
"296",1,1,25,55.4417,1,0
"297",0,3,18,6.4958,1,0
"298",0,3,19,8.05,0,0
"299",0,1,22,135.6333,0,0
"300",0,3,3,21.075,3,1
"301",1,3,22,7.25,0,0
"302",0,1,27,211.5,0,2
"303",0,3,20,4.0125,0,0
"304",0,3,19,7.775,0,0
"305",0.34,1,42,227.525,0,0
"306",1,3,1,15.7417,0,2
"307",0,3,32,7.925,0,0
"308",1,1,35,52,1,0
"309",0,2,18,73.5,0,0
"310",0,3,1,46.9,5,2
"311",1,2,36,13,0,0
"312",1,2,17,12,0,0
"313",1,1,36,120,1,2
"314",1,3,21,7.7958,0,0
"315",0,3,28,7.925,2,0
"316",1,1,23,113.275,1,0
"317",1,3,24,16.7,0,2
"318",0,3,22,7.7958,0,0
"319",0,3,31,7.8542,0,0
"320",0.423728813559322,2,46,26,0,0
"321",0,2,23,10.5,0,0
"322",1,2,28,12.65,0,0
